Date,Nitrogen_Dioxide,Ozone,PM10_Particulate,PM2-5_Particulate
0109201811,41.7,32.6,19.5,8.4
0109201812,42.2,34.8,19.1,8.4
0109201813,42.3,37,18.7,8.3
0109201814,43,38,19.3,7.8
0109201815,44.6,38.1,19.3,8
0109201816,47.5,37.4,18.6,8.3
0109201817,52,34.6,18.9,9
0109201818,56.2,28.9,20,9.8
0109201819,55.5,25.5,20.3,10.7
0109201820,52.3,24.7,20.3,10.8
0109201821,50.3,23.3,19.5,10.8
0109201822,46.9,22.9,18.4,10.5
0109201823,42,23.5,17.2,9.9
0110201800,35.3,22.7,16.6,10.6
0110201801,30.5,24.2,15.6,9.6
0110201802,28.2,24.3,14.9,9.2
0110201803,28.2,23.1,14.4,9.2
0110201804,33.5,20.3,15.4,9.6
0110201805,44.4,15.9,17.9,11.1
0110201806,54.3,13,20.3,11.3
0110201807,57.1,13.3,22.1,11.7
0110201808,56.1,15.4,22.6,11.5
0110201809,51.9,19,21.2,11.5
0110201810,48.3,21.3,19.7,10.6
0110201811,46.5,23.4,19.7,10.4
0110201812,45.5,26.1,19.3,10.1
0110201813,46.3,27,19.1,9.8
0110201814,48,26.7,19.4,10.1
0110201815,50.7,25.7,19.2,10.3
0110201816,55.8,22.8,19.9,11.3
0110201817,62.4,18.4,21.1,12.5
0110201818,64.3,16.6,22.4,14.3
0110201819,60.5,16.4,22.6,14.9
0110201820,55,17.3,21.7,14.7
0110201821,51.2,18,20.7,13.9
0110201822,46.9,18.7,19.6,13.7
0110201823,42.1,20.2,18.6,12.2
0111201800,40.1,19.1,20.9,15.1
0111201801,34.4,20.7,18.9,13.8
0111201802,31.1,20.4,18,13.4
0111201803,29.4,20.9,17.5,12.8
0111201804,30.2,20.4,17.7,12.9
0111201805,36.1,17.7,18.7,13.7
0111201806,47.8,13.4,20.7,14.3
0111201807,55.8,11.5,22.5,14.4
0111201808,56.4,12.5,24.5,14.8
0111201809,54.7,14.5,26.2,14.8
0111201810,50.8,17.7,26.2,14.3
0111201811,48.4,19.9,26.3,13.9
0111201812,47.7,21.5,25.5,13.4
0111201813,48.4,22.1,25.1,13.5
0111201814,50.1,21.7,25,13.3
0111201815,53.8,19.7,24.9,13.5
0111201816,58.7,16.3,25.1,14.2
0111201817,60.9,15.1,25,15.7
0111201818,61.2,14.8,26.1,17
0111201819,59,15.1,27.5,19.1
0111201820,54.5,15.7,28.1,20.3
0111201821,50.6,16.3,27.3,20.4
0111201822,48.4,16.9,25.4,18.7
0111201823,45.2,18,23.1,16.8
0112201800,41.3,25,17.4,11.5
0112201801,34.6,28.7,16.3,10.6
0112201802,29.7,28.5,15.6,10.4
0112201803,27.2,29.7,15.1,10.1
0112201804,27.9,28.5,15.3,9.9
0112201805,32.2,25.8,15.7,10.1
0112201806,41.6,21.8,16.7,10.4
0112201807,49.7,19.1,17.9,10.9
0112201808,53.6,18.5,19.3,11
0112201809,55.2,18.9,20.8,11.5
0112201810,54,20.3,22,11.5
0112201811,53.2,21.6,22.6,11.3
0112201812,52.5,22.7,22.3,11.1
0112201813,52.4,23,21.9,10.9
0112201814,53.7,22.4,21.4,10.1
0112201815,57.5,19.7,21.7,10.5
0112201816,61.6,17.5,22.6,11.6
0112201817,62.6,17.4,22.8,12.7
0112201818,61.9,17.6,22.5,13.2
0112201819,59,19.3,22.1,13.3
0112201820,54.7,20,21,13
0112201821,51.9,20.4,20.7,13.2
0112201822,49,21.8,20,13
0112201823,45.8,23.4,18.9,11.8
0101201900,46.9,19.6,20.9,14.8
0101201901,40.3,23.1,19,13.8
0101201902,35.7,24.8,17.3,13.1
0101201903,33.4,26.4,16.7,12.4
0101201904,33.3,26.1,16.6,12.3
0101201905,39.1,22.7,17.5,12.6
0101201906,51.1,18.2,19.5,13.4
0101201907,61.7,15.2,21.1,14.2
0101201908,65.8,13.7,22.9,14.5
0101201909,64.8,15.5,25.2,14.8
0101201910,60.3,17.8,26.3,14.8
0101201911,57.2,19.4,27.4,15.1
0101201912,54.9,20.9,28.1,14.4
0101201913,53.7,21.9,27.3,13.1
0101201914,54,22.3,25.5,11.9
0101201915,56.5,20.7,23.8,11.7
0101201916,61.6,18,23.2,12.4
0101201917,67.7,14.8,23.5,13.1
0101201918,69.4,13.8,24.1,14.4
0101201919,67.8,14.2,24.6,15.1
0101201920,63.6,15.2,24.8,15.2
0101201921,60,16,24.1,15.8
0101201922,56.9,16.2,23.3,15.6
0101201923,53,17.8,22.6,15.3
0102201900,49.8,21.9,26.6,19.4
0102201901,43,25.8,24.9,18.8
0102201902,38.8,26.6,24.3,18.4
0102201903,37.4,26.6,23.4,18.1
0102201904,38.4,25,23.5,18.8
0102201905,43.3,22.1,24.6,19.1
0102201906,55,18.7,26.8,19.9
0102201907,65.1,15.7,28.6,20.3
0102201908,67,16.5,29.8,20.5
0102201909,65.5,18.3,32.3,20.7
0102201910,61.5,20.6,34,20.2
0102201911,58.3,22.7,33.9,19.2
0102201912,55.1,24.9,31,17
0102201913,53.3,27,28.9,14.9
0102201914,54.2,27.2,28.2,14.5
0102201915,57.2,26.1,27.6,14
0102201916,62.7,23.6,27.9,14.7
0102201917,69.7,20.1,29.4,16.3
0102201918,71.4,18.7,30.8,18
0102201919,70.4,17.9,31.5,19.3
0102201920,67.9,18.1,31.3,20.5
0102201921,64.4,18.1,30.8,20.8
0102201922,61,19.3,30,20.9
0102201923,56.6,19.8,28,20.1
0103201900,37.5,33.2,19.6,12.3
0103201901,31.4,37.9,18.3,11.9
0103201902,27.7,37.8,18,11.8
0103201903,26.1,38.9,17.4,11.3
0103201904,26.9,37.6,17.4,11.2
0103201905,33.3,32.8,17.9,11
0103201906,45,27.9,20.2,11.1
0103201907,52.4,26.1,21.8,11.9
0103201908,51.3,28.5,22.3,11.5
0103201909,48.2,31.9,22.9,11
0103201910,43.6,34.9,22.1,10.4
0103201911,39.5,38.1,21.4,9.5
0103201912,38.4,39.6,21.6,9.3
0103201913,38.2,41.3,21.4,9.2
0103201914,40.4,41.5,21.6,9.4
0103201915,43.1,40.5,21.1,9.9
0103201916,46.8,38.4,21.2,10.3
0103201917,50.4,36,22.2,11.1
0103201918,53.2,34.6,23.1,13.4
0103201919,54.9,31.9,22.8,12.8
0103201920,52.7,31.7,22.8,13.2
0103201921,50.1,31.8,22.5,13
0103201922,47.4,31.8,21.7,12.7
0103201923,43.4,32.5,20.5,12
0104201900,40,31.9,32,26.3
0104201901,34.9,33.9,31.2,25.6
0104201902,32.7,34.7,30.7,25.4
0104201903,33.2,33.1,30.5,24.3
0104201904,39.3,28.2,31.9,24.7
0104201905,50.7,22.2,34.7,25.3
0104201906,56.1,21.5,36.2,25.2
0104201907,53.9,25.8,37.3,25.2
0104201908,51,31.1,37.1,24.2
0104201909,48.1,35.3,36.2,23.5
0104201910,46.2,39.5,34.6,21.6
0104201911,44.4,44.4,32.5,19.5
0104201912,42.7,49,31,18
0104201913,42.7,52.2,30,17.7
0104201914,44.4,52.4,30.1,17.7
0104201915,45.4,51.9,29.6,18.3
0104201916,47.8,50.3,29.6,18.9
0104201917,49.2,49,29.2,19.3
0104201918,50.5,46.5,29.3,20.1
0104201919,52,42.5,30.4,22.3
0104201920,52.7,38.3,31.3,24.2
0104201921,52.9,35.6,32.6,26
0104201922,51.6,33.5,33.4,27
0104201923,47.2,32.2,32.7,27
0105201900,33.4,29.2,17.4,11.5
0105201901,28.6,29.8,16.3,11.1
0105201902,26.7,30.3,16.1,11.5
0105201903,27.9,28.2,16.5,10.9
0105201904,34.7,23,18.3,11.7
0105201905,43.8,20.5,20.7,12.3
0105201906,47.5,23.2,22.4,12.6
0105201907,46,27.9,23,12.4
0105201908,44.3,32.3,23.2,11.3
0105201909,41.2,36.8,21.4,10.2
0105201910,39.4,39.9,20.7,9.8
0105201911,38.9,42.2,21.3,9.8
0105201912,38.6,44.3,20.7,9.7
0105201913,38.4,46.1,20.4,9.7
0105201914,39.3,46.7,20.2,9.4
0105201915,40.8,47.2,19.8,9.1
0105201916,41.7,47.2,19.1,9.3
0105201917,42.5,47.5,18.3,9.4
0105201918,42.3,44.9,18.1,9.6
0105201919,43,40.6,18.4,9.5
0105201920,44.1,36.4,18.6,10.5
0105201921,45.2,32.4,19.3,11.1
0105201922,43.6,30.6,19,11.5
0105201923,40.1,29.2,18.5,11.7
0106201900,26.3,30.2,16,9.5
0106201901,23,28.9,15.5,9.2
0106201902,22,30.2,15.2,9.1
0106201903,23.4,27.5,15.8,9.3
0106201904,28.3,23.4,16.9,9.7
0106201905,35.3,22,18,10.2
0106201906,39.1,24.3,18.6,10.1
0106201907,39.3,26.4,19.7,9.2
0106201908,39.7,28.1,20,8.6
0106201909,38.7,30.5,20.7,8.9
0106201910,37.6,32.1,19.6,8.5
0106201911,37.1,34.1,20.2,8.9
0106201912,37,35.7,19.5,8.8
0106201913,37.4,36.6,19.4,9
0106201914,38.2,36.5,19.3,9.1
0106201915,38.8,36.1,19.3,9
0106201916,38.8,36.5,18.3,8.6
0106201917,39.1,36.6,17.3,8.9
0106201918,38.1,36.2,17.4,8.6
0106201919,37,35.5,17.3,8.8
0106201920,37.6,33.2,16.8,9.4
0106201921,37.6,31.5,16.8,10
0106201922,35.5,30.6,16.8,9.8
0106201923,31.8,30.5,16.6,9.4
0107201900,27.3,28.2,15.5,9
0107201901,23.1,27.4,14.6,8.4
0107201902,21.6,27.5,13.7,7.7
0107201903,22.8,24.4,13.9,7.5
0107201904,28.4,20.5,14.7,8.1
0107201905,36.2,17.9,17,8.8
0107201906,40.7,18.3,18.6,8.8
0107201907,41,20.3,19.4,8.6
0107201908,40.7,22,20,8.5
0107201909,38.9,24.9,19.7,8.5
0107201910,38.2,26.8,20.5,8.5
0107201911,38.2,28.8,20.5,8.8
0107201912,38.2,31.3,20.7,9
0107201913,38.5,33,21.7,9.4
0107201914,40.4,34.2,21.3,9.3
0107201915,41.6,34.9,21.2,9.8
0107201916,42.5,35.5,20.3,9.5
0107201917,42.7,35.5,20.2,9.8
0107201918,40.3,35,19.6,9.7
0107201919,37.7,34.4,18.5,10.1
0107201920,38.3,31.8,18.4,10.8
0107201921,39.4,29.4,18.5,10.7
0107201922,37.5,28.4,18,9.6
0107201923,34.2,27.6,16.7,9.2
